Title,Summary,URLName,datacategorygroup.FAFSA
Academic Year,"
An academic year is one complete school year at the same school, or two complete, half years at different schools. For schools that have a year-round program of instruction, nine months is considered an academic year.",Academic-Year,Terminology
Aid for Military Family Service,"
Both the federal government and nonprofit organizations offer money for college to veterans, future military personnel, active duty personnel, or those related to veterans or active duty personnel.",Aid-for-Military-Family-Service,Terminology
Annual Taxable Income,"
Your annual taxable income is the amount of income used to determine how much tax you owe in a given year. This can include wages, salaries, bonuses, tips, investment income, and unearned income. If you have received a W-2 form or a 1099 form from an employer, you can find this number on those forms.",Annual-Taxable-Income,Terminology
Cookie,"
Cookies are bits of data that a website transfers to a computer’s hard drive. The most common use of cookies is for a website to determine your personal preferences. Some cookies disappear once you close the browser while some remain.",Cookie,Terminology
Credit,"
Credit refers to the amount of money you borrow and your ability to borrow to purchase goods and services. Credit is extended to you from a credit grantor with which you make an agreement to pay back the amount spent, plus applicable interest and fees, within an agreed-upon time.",Credit,Terminology
Debt Collection,"
Debt collection is the course of pursuing payments of loan debts due by borrowers.",Debt-Collection,Terminology
Debt Consolidation,"
Debt consolidation is a method of debt refinancing that involves taking out one loan to pay off others.",Debt-Consolidation,Terminology
Default,"
Default is failure to repay a loan outlined in the agreed promissory note. Most federal student loan default occurs when a payment isn’t made in more than 270 days. It can result in legal consequences and a loss of eligibility for additional federal student aid.",Default,Terminology
Deferment,"
A deferment is a temporary postponement of payment on a loan that is allowed under certain conditions and during which interest generally doesn’t accrue on certain types of subsidized loans.",Deferment,Terminology
Direct Consolidation Loan,"
A Direct Consolidation Loan combines federal education loans into one loan for free via completion of the Federal Direct Consolidation Loan Application and Promissory Note. You will have a single monthly payment on the new Direct Consolidation Loan.",Direct-Consolidation-Loan,Terminology
Direct PLUS Loan,"
Direct PLUS Loans are federal loans that graduate or professional students and parents of dependent undergraduate students use to help pay for education expenses.",Direct-PLUS-Loan,Terminology
Direct Subsidized Loan,"
A Direct Subsidized Loan is a federal student loan for which a borrower isn’t generally responsible for paying the interest while in an in-school, grace, or deferment period.",Direct-Subsidized-Loan,Terminology
